Source paper,Technique,Model,Scale,Benchmark,Baseline perf,Benchmark perf
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-70B,70B,ToxiGen,84.20,0.00
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-70B,70B,TruthfulQA,38.20,57.90
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-70B,70B,ToxiGen,84.20,0.50
https://arxiv.org/pdf/2311.10702,SFT,Llama 2-70B,70B,TruthfulQA,38.20,62.20
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,8B,ToxiGen,57,0
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,ToxiGen,57,0
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,ToxiGen,57,0
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,BIO,0.7686274509803921,0.26274509803921564
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,CHEM,0.7439024390243902,0.5
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,CYBER,0.7758186397984886,0.5365239294710327
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,8B,HarmBench,82.8,98.4
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,HarmBench,82.8,94.4
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,BIO,0.7686274509803921,0.34901960784313724
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,CHEM,0.7439024390243902,0.5731707317073171
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,CYBER,0.7758186397984886,0.5894206549118388
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,HarmBench,82.8,94.7
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,8B,XSTest,92.7,90.4
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,XSTest,92.7,92.4
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,XSTest,92.7,93.3
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,8B,WildGuardTest,86.2,99.2
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,WildGuardTest,86.2,98.9
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,WildGuardTest,86.2,98.5
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,8B,Jailbreaktrigger,78.8,95.8
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,Jailbreaktrigger,78.8,87
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,Jailbreaktrigger,78.8,85.5
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,8B,DoAnythingNow,45,88.3
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,DoAnythingNow,45,69.7
